CMDLINE autosubmit -lc DEBUG run a00r
MEM 0.539062 1789046125.9906
MEM 23.769531 1789046126.0916
MEM 40.746094 1789046126.1919
MEM 58.433594 1789046126.2928
MEM 60.480469 1789046126.3930
MEM 60.519531 1789046126.4939
MEM 61.132812 1789046126.5943
MEM 61.167969 1789046126.6954
MEM 61.175781 1789046126.7958
MEM 61.207031 1789046126.8961
MEM 61.218750 1789046126.9972
MEM 61.222656 1789046127.0981
MEM 70.597656 1789046127.1995
MEM 88.402344 1789046127.3016
MEM 99.625000 1789046127.4019
MEM 103.734375 1789046127.5022
MEM 106.511719 1789046127.6026
MEM 115.980469 1789046127.7032
MEM 116.019531 1789046127.8056
MEM 116.382812 1789046127.9060
MEM 117.187500 1789046128.0065
MEM 117.765625 1789046128.1068
MEM 117.941406 1789046128.2104
MEM 118.007812 1789046128.3108
MEM 118.023438 1789046128.4115
MEM 118.738281 1789046128.5119
MEM 120.910156 1789046128.6122
MEM 120.910156 1789046128.7127
MEM 120.910156 1789046128.8133
MEM 120.910156 1789046128.9136
MEM 120.910156 1789046129.0147
MEM 120.910156 1789046129.1151
MEM 120.910156 1789046129.2165
MEM 120.910156 1789046129.3176
MEM 120.910156 1789046129.4180
MEM 120.910156 1789046129.5187
MEM 120.910156 1789046129.6193
MEM 120.910156 1789046129.7199
MEM 120.910156 1789046129.8204
MEM 120.910156 1789046129.9219
MEM 120.910156 1789046130.0226
MEM 120.910156 1789046130.1231
MEM 120.910156 1789046130.2243
MEM 120.910156 1789046130.3253
MEM 120.910156 1789046130.4264
MEM 120.910156 1789046130.5288
MEM 120.910156 1789046130.6300
MEM 122.234375 1789046130.7315
MEM 124.832031 1789046130.8323
MEM 125.621094 1789046130.9327
MEM 125.625000 1789046131.0331
MEM 125.648438 1789046131.1336
MEM 125.667969 1789046131.2350
MEM 136.789062 1789046131.3355
MEM 141.253906 1789046131.4378
MEM 141.878906 1789046131.5381
MEM 146.750000 1789046131.6400
MEM 147.046875 1789046131.7424
MEM 147.058594 1789046131.8431
MEM 133.101562 1789046131.9434
MEM 133.101562 1789046132.0437
MEM 133.101562 1789046132.1442
MEM 133.101562 1789046132.2444
MEM 133.101562 1789046132.3450
MEM 133.101562 1789046132.4452
MEM 133.101562 1789046132.5455
